timestamp, x, y, z 
1.72883e+09, 136.529, 116.517, -0.512417
1.72883e+09, 137.06, 116.603, -0.510929
1.72883e+09, 137.595, 116.649, -0.50292
1.72883e+09, 138.131, 116.646, -0.482096
1.72883e+09, 138.689, 116.643, -0.462402
1.72883e+09, 139.251, 116.636, -0.451162
1.72883e+09, 139.802, 116.616, -0.443716
1.72883e+09, 140.349, 116.585, -0.455847
1.72883e+09, 140.878, 116.579, -0.46775
1.72883e+09, 141.408, 116.594, -0.475724
1.72883e+09, 141.944, 116.635, -0.482774
1.72883e+09, 142.478, 116.683, -0.484314
1.72883e+09, 143.004, 116.721, -0.471938
1.72883e+09, 143.507, 116.75, -0.472545
1.72883e+09, 144.007, 116.794, -0.478348
1.72883e+09, 144.497, 116.862, -0.468518
1.72883e+09, 144.996, 116.923, -0.472702
1.72883e+09, 145.502, 116.978, -0.486173
1.72883e+09, 146.015, 117.037, -0.507711
1.72883e+09, 146.514, 117.087, -0.512266
1.72883e+09, 147.004, 117.114, -0.506167
1.72883e+09, 147.488, 117.115, -0.491066
1.72883e+09, 147.981, 117.084, -0.485121
1.72883e+09, 148.443, 117.035, -0.47698
1.72883e+09, 148.909, 116.976, -0.475841
1.72883e+09, 149.382, 116.929, -0.49009
1.72883e+09, 149.874, 116.877, -0.521891
1.72883e+09, 150.383, 116.835, -0.544327
1.72883e+09, 150.923, 116.816, -0.552003
1.72883e+09, 151.461, 116.803, -0.548925
1.72883e+09, 152.025, 116.819, -0.527817
1.72883e+09, 152.596, 116.846, -0.509056
1.72883e+09, 153.147, 116.881, -0.504099
1.72883e+09, 153.708, 116.911, -0.508295
1.72883e+09, 154.296, 116.942, -0.50437
1.72883e+09, 154.901, 116.962, -0.505415
1.72883e+09, 155.498, 116.963, -0.515757
1.72883e+09, 156.087, 116.951, -0.525968
1.72883e+09, 156.664, 116.91, -0.525047
1.72883e+09, 157.256, 116.848, -0.526928
1.72883e+09, 157.842, 116.804, -0.503002
1.72883e+09, 158.428, 116.755, -0.480886
1.72883e+09, 159.009, 116.726, -0.479619
1.72883e+09, 159.569, 116.707, -0.491695
1.72883e+09, 160.131, 116.672, -0.492234
1.72883e+09, 160.693, 116.64, -0.509864
1.72883e+09, 161.243, 116.609, -0.51658
1.72883e+09, 161.806, 116.581, -0.507298
1.72883e+09, 162.365, 116.57, -0.501057
1.72883e+09, 162.919, 116.566, -0.500078
1.72883e+09, 163.45, 116.56, -0.501168
1.72883e+09, 163.963, 116.565, -0.514848
1.72883e+09, 164.456, 116.564, -0.530272
1.72883e+09, 164.94, 116.553, -0.534134
1.72883e+09, 165.417, 116.545, -0.528614
1.72883e+09, 165.868, 116.541, -0.510878
1.72883e+09, 166.285, 116.568, -0.496602
1.72883e+09, 166.675, 116.593, -0.48257
1.72883e+09, 167.066, 116.629, -0.477069
1.72883e+09, 167.457, 116.688, -0.488788
1.72883e+09, 167.867, 116.76, -0.501329
1.72883e+09, 168.283, 116.847, -0.51129
1.72883e+09, 168.697, 116.943, -0.51652
1.72883e+09, 169.111, 117.052, -0.504346
1.72883e+09, 169.49, 117.174, -0.507641
1.72883e+09, 169.848, 117.317, -0.532036
1.72883e+09, 170.186, 117.467, -0.55528
1.72883e+09, 170.533, 117.589, -0.566571
1.72883e+09, 170.886, 117.716, -0.573602
1.72883e+09, 171.239, 117.853, -0.582467
1.72883e+09, 171.591, 118.02, -0.591316
1.72883e+09, 171.935, 118.2, -0.601758
1.72883e+09, 172.286, 118.418, -0.614234
1.72883e+09, 172.632, 118.663, -0.631579
1.72883e+09, 172.949, 118.949, -0.653652
1.72883e+09, 173.253, 119.249, -0.67459
1.72883e+09, 173.562, 119.538, -0.694195
1.72883e+09, 173.873, 119.828, -0.705268
1.72883e+09, 174.204, 120.124, -0.703862
1.72883e+09, 174.527, 120.447, -0.697704
1.72883e+09, 174.816, 120.803, -0.686697
1.72883e+09, 175.068, 121.209, -0.701984
1.72883e+09, 175.313, 121.651, -0.732956
1.72883e+09, 175.536, 122.104, -0.7383
1.72883e+09, 175.748, 122.576, -0.730063
1.72883e+09, 175.956, 123.075, -0.732968
1.72883e+09, 176.166, 123.599, -0.738268
1.72883e+09, 176.359, 124.142, -0.757139
1.72883e+09, 176.523, 124.707, -0.787426
1.72883e+09, 176.661, 125.303, -0.814963
1.72883e+09, 176.789, 125.915, -0.845189
1.72883e+09, 176.904, 126.546, -0.872245
1.72883e+09, 177.006, 127.19, -0.896128
1.72883e+09, 177.11, 127.867, -0.926197
1.72883e+09, 177.219, 128.568, -0.947197
1.72883e+09, 177.324, 129.288, -0.963089
1.72883e+09, 177.437, 130.024, -0.994034
1.72883e+09, 177.546, 130.778, -1.01467
1.72883e+09, 177.636, 131.542, -1.03963
1.72883e+09, 177.702, 132.321, -1.0702
1.72883e+09, 177.754, 133.128, -1.10252
1.72883e+09, 177.807, 133.933, -1.13412
1.72883e+09, 177.853, 134.751, -1.16121
1.72883e+09, 177.907, 135.582, -1.18471
1.72883e+09, 177.964, 136.414, -1.20069
1.72883e+09, 178.03, 137.269, -1.21257
1.72883e+09, 178.105, 138.151, -1.22857
1.72883e+09, 178.168, 139.027, -1.25837
1.72883e+09, 178.23, 139.931, -1.30454
1.72883e+09, 178.292, 140.827, -1.35193
1.72883e+09, 178.348, 141.739, -1.38283
1.72883e+09, 178.413, 142.662, -1.4052
1.72883e+09, 178.483, 143.586, -1.42111
1.72883e+09, 178.555, 144.513, -1.44306
1.72883e+09, 178.63, 145.431, -1.4732
1.72883e+09, 178.696, 146.355, -1.51713
1.72883e+09, 178.755, 147.274, -1.5514
1.72883e+09, 178.823, 148.193, -1.57192
1.72883e+09, 178.881, 149.125, -1.58794
1.72883e+09, 178.94, 150.056, -1.60085
1.72883e+09, 178.99, 150.965, -1.61869
1.72883e+09, 179.034, 151.861, -1.66044
1.72883e+09, 179.083, 152.75, -1.70061
1.72883e+09, 179.13, 153.647, -1.7325
1.72883e+09, 179.185, 154.549, -1.7606
1.72883e+09, 179.252, 155.467, -1.78119
1.72883e+09, 179.319, 156.371, -1.80531
1.72883e+09, 179.37, 157.295, -1.83458
1.72883e+09, 179.416, 158.239, -1.86662
1.72883e+09, 179.475, 159.177, -1.89535
1.72883e+09, 179.522, 160.104, -1.92129
1.72883e+09, 179.566, 161.023, -1.94608
1.72883e+09, 179.611, 161.904, -1.97109
1.72883e+09, 179.651, 162.78, -1.98834
1.72883e+09, 179.69, 163.66, -2.02012
1.72883e+09, 179.716, 164.543, -2.04889
1.72883e+09, 179.747, 165.411, -2.09194
1.72883e+09, 179.782, 166.26, -2.11334
